classnumber,termnumber,termname,termstatus,termcategory,termsource,effectivedate,refst13applicationnumber
8,0,"hand-operated soil moving apparatus, namely shovels, spades, scrapers, hoes, rakes, brushes",public,goods,CIPO_manual,-,300000171590200
8,0,"hand-held soil moving apparatus, namely shovels, spades, scrapers, hoes, rakes, brushes",public,goods,CIPO_manual,-,300000171590200
8,0,"hand-operated surface clearing apparatus, namely scrapers, hoes, rakes, brushes",public,goods,CIPO_manual,-,300000171590200
8,0,"hand-held surface clearing apparatus, namely scrapers, hoes, rakes, brushes",public,goods,CIPO_manual,-,300000171590200
8,0,parts and fittings for the aforesaid,public,goods,CIPO_manual,-,300000171590200
29,0,preserved vegetables and fruits,public,goods,CIPO_manual,-,300000171591000
29,0,preserved pulses,public,goods,CIPO_manual,-,300000171591000
29,0,processed pulses,public,goods,CIPO_manual,-,300000171591000
43,0,"services for providing food and drink namely, snack bar services, and the provision of in-room dining",public,services,CIPO_manual,-,300000171592700
43,0,"providing temporary hotel, cruise and lodging accommodations",public,services,CIPO_manual,-,300000171592700
43,0,"travel agency services, namely, making reservations and bookings for hotels, restaurants and providing temporary hotel, cruise and lodging accommodations",public,services,CIPO_manual,-,300000171592700
43,0,"reservation and booking services for hotels, restaurants and providing temporary hotel, cruise and lodging accommodations",public,services,CIPO_manual,-,300000171592700
43,0,consultancy and advisory services relating to all the aforesaid,public,services,CIPO_manual,-,300000171592700
41,0,"arranging, organizing and hosting social entertainment events namely, live dances, theatrical and musical performances, organized party events, wine and food tastings, stage shows, nightclub shows, and variety and comedy shows",public,services,CIPO_manual,-,300000171592700
41,0,entertainment and education services in the nature of live dance and musical performances,public,services,CIPO_manual,-,300000171592700
41,0,"providing information in the field of entertainment for passengers namely, for organized party events, wine and food tastings, stage shows, nightclub shows, variety and comedy shows, theatrical productions and musicals, programming in the field of music, theater and film",public,services,CIPO_manual,-,300000171592700
41,0,"entertainment services, namely, organizing and conducting parties, wine and food tastings, arranging contests of skill and chance for passengers while on board, stage shows, nightclub shows, variety and comedy shows, and theatrical productions and musicals",public,services,CIPO_manual,-,300000171592700
41,0,"entertainment services, namely, casino gaming",public,services,CIPO_manual,-,300000171592700
41,0,"educational services, namely, conducting cooking classes, and conducting lectures and seminars in the fields of music, theatre, and film",public,services,CIPO_manual,-,300000171592700
41,0,libraries,public,services,CIPO_manual,-,300000171592700
41,0,in-cabin interactive television programming,public,services,CIPO_manual,-,300000171592700
41,0,"health club services, namely, providing instruction, classes, and equipment in the field of physical exercise",public,services,CIPO_manual,-,300000171592700
41,0,"organizing and hosting arts events and cultural entertainment performances, namely, singing, dancing and theatrical performances and cultural travel tours",public,services,CIPO_manual,-,300000171592700
41,0,organization of exhibitions for cultural and educational purposes related to local travel destinations for passengers,public,services,CIPO_manual,-,300000171592700
35,0,"services for providing food and drink namely, food and beverage concession stands",public,goods,CIPO_manual,-,300000171592700
39,0,"transport of passengers and of goods namely cruise services, cruise ship services, transport of passengers and goods by bus, rail and car",public,services,CIPO_manual,-,300000171592700
39,0,cruise services,public,services,CIPO_manual,-,300000171592700
39,0,"travel agency services, namely, making reservations and taking bookings for transportation of passengers and goods",public,services,CIPO_manual,-,300000171592700
39,0,travel tour operating services,public,services,CIPO_manual,-,300000171592700
39,0,reservation services for transportation of passengers,public,services,CIPO_manual,-,300000171592700
39,0,"land travel reservation services namely travel reservation services for passengers by bus, train and car",public,services,CIPO_manual,-,300000171592700
39,0,train reservation services,public,services,CIPO_manual,-,300000171592700
39,0,provision of information and advice relating to all the aforesaid services,public,services,CIPO_manual,-,300000171592700
5,0,"dietary supplement, namely pre-workout formula in the form of powdered drink mixes and capsules for energy gain and enhanced training performance",public,goods,CIPO_manual,-,300000171593100
38,0,providing access to information on the internet in the field of film and television production,public,services,CIPO_manual,-,300000171599400
38,0,"transmission of images, voice and text messages via internet",public,services,CIPO_manual,-,300000171599400
38,0,"providing online forums, chat rooms and electronic bulletin boards for the transmission of messages among users in the field of general interest",public,services,CIPO_manual,-,300000171599400
38,0,"television broadcasting of films, radio and television broadcasts, also provided via the internet",public,services,CIPO_manual,-,300000171599400
38,0,"providing access to the internet for educational, training, entertainment, cultural and sporting purposes in the field of films and television programs",public,services,CIPO_manual,-,300000171599400
35,0,"advertising namely, advertising services of a radio and television advertising agency, bill-posting namely, advertising of goods and services of others, publication of publicity texts",public,goods,CIPO_manual,-,300000171599400
35,0,"production of advertising films for others, advertising services for promoting a series of films for others, production of advertising materials for other",public,goods,CIPO_manual,-,300000171599400
35,0,"retailing and wholesaling in the fields of: sound recording carriers and data carriers, namely pre-recorded cds and dvds containing audio and video clips, books, printed matter",public,goods,CIPO_manual,-,300000171599400
35,0,business administration,public,goods,CIPO_manual,-,300000171599400
35,0,"office functions namely, business administration and management",public,goods,CIPO_manual,-,300000171599400
35,0,casting agency services,public,goods,CIPO_manual,-,300000171599400
41,0,education courses in the field of film and television,public,services,CIPO_manual,-,300000171599400
41,0,providing of training in the production of films and television,public,services,CIPO_manual,-,300000171599400
41,0,"entertainment in the form of live musical concerts, television shows, theatre productions",public,services,CIPO_manual,-,300000171599400
41,0,"production, showing and rental of films, video and sound recordings namely, audio and video recording services, and radio and television programs",public,services,CIPO_manual,-,300000171599400
41,0,"videotape film production, production of music records",public,services,CIPO_manual,-,300000171599400
41,0,"production of shows namely production of television programs, production of theatre shows",public,services,CIPO_manual,-,300000171599400
41,0,"impresario services namely, engagement of performing artists and musicians in film, television and other media",public,services,CIPO_manual,-,300000171599400
41,0,layout design for production of films and television programs,public,services,CIPO_manual,-,300000171599400
41,0,"publishing of books, newspapers, periodicals, calendars, posters, postcards and greetings cards, programs, brochures, playing cards and instructional and teaching material namely, educational manuals, in printed and electronic form, except for advertising purposes",public,services,CIPO_manual,-,300000171599400
41,0,"digital imaging, namely exposure of digital or digitized starting material",public,services,CIPO_manual,-,300000171599400
41,0,services of a photographer,public,services,CIPO_manual,-,300000171599400
41,0,"services of a publishing house namely, publishing of web magazines (excluded printing services)",public,services,CIPO_manual,-,300000171599400
9,0,downloadable publications in the field of movies and music,public,goods,CIPO_manual,-,300000171599400
16,0,"paper, cardboard and goods made from these materials, namely announcement cards (stationery), stickers (stationery), labels of paper, pads (stationery), posters, display banners",public,goods,CIPO_manual,-,300000171599400
16,0,"typewriters and office requisites namely, letter paper, label paper, paper clips",public,goods,CIPO_manual,-,300000171599400
16,0,"instructional and teaching material namely, educational books",public,goods,CIPO_manual,-,300000171599400
9,0,"programmable electrical and electronic actuators for electrically driven home appliances, namely: for garage doors, windows, door locks, audio and video media systems, heating, air conditioning and climate systems, lighting devices, namely: ceiling lights, electric light dimmers, electric night lights, electric track lighting units, water systems, securing systems, namely: electric room locking and unlocking systems for residential properties and office space, smoke detectors, alarm systems, extinguishing systems, motion sensors",public,goods,CIPO_manual,-,300000171599600
9,0,"software for mobile devices, namely: mobile telephones, smart phones, smart watches and tablet computers, for remote operation of home appliances",public,goods,CIPO_manual,-,300000171599600
9,0,electric room locking and unlocking systems,public,goods,CIPO_manual,-,300000171599600
9,0,"programmable electrical and electronic actuators, sensors and meters for controlling, measuring, identifying, supervising, signalling and regulating electricity, fire, smoke, temperature, moisture, air pressure, water and water consumption, energy consumption, motions",public,goods,CIPO_manual,-,300000171599600
9,0,"software for mobile devices, namely: mobile telephones, smart phones, smart watches and tablet computers, to enable remote operation of programmable electric and electronic actuators, sensors and meters for controlling, measuring, identifying, supervising, signalling and regulating electricity, fire, smoke, temperature, moisture, air pressure, water and water consumption, energy consumption, motions",public,goods,CIPO_manual,-,300000171599600
9,0,"computer software and hardware for use in the acquistion, capture, processing, presentation, storage and transmission of physiological and medical data, namely, the concentration of glucose in the human body",public,goods,CIPO_manual,-,300000171601400
10,0,"medical devices, namely, medical sensors that are implanted or inserted into the human body used to continuously monitor the concentration of glucose in the human body and accessories therefor, namely, receivers, sensor housings and sensor insertion devices",public,goods,CIPO_manual,-,300000171601400
20,0,"non-metallic screw tops, for bottles",public,goods,CIPO_manual,-,300000171602500
21,0,bottles for cosmetics articles,public,goods,CIPO_manual,-,300000171602500
21,0,bottles for toilet articles,public,goods,CIPO_manual,-,300000171602500
21,0,bottles for food,public,goods,CIPO_manual,-,300000171602500
21,0,bottles for medicine,public,goods,CIPO_manual,-,300000171602500
21,0,"containers for household or kitchen use, namely, containers for condiments, containers for edible oil, beverage containers, food storage containers and containers for detergent",public,goods,CIPO_manual,-,300000171602500
35,0,"the bringing together, for the benefit of others, of a variety of goods, namely various types or a mixture of candies, sweets, chocolates, jellies, gums, cookies, brownies, pastries, biscuits, snacks, tidbits, popcorns, waffles, nuts, confectionery, cakes, spreads, cocoa, coffee, tea leaves, ice-creams, sherbets, drinks, cocktails, beverages, personal accessories, namely, jewelry, watches, hair clips, belts, tie clips, money clips, cuff links, umbrellas, scarves, luggage, stationery, gift packages comprising containers, candy, cookies, snack foods, jewelry, plush toys, ornaments, toys, apparels, clothing, paper products, containers, bags, home accessories and office accessories, namely, bedding, table linen, cutlery, paper serviettes, paper plates, drinking ware, lighting, mirrors, wall art, candles, trays, sculptures, vases, cabinets, stools, rugs, cushions, ornaments, note books, writing instruments, erasers, paper clips, pencil cases, house-wares, namely, mugs, plates, cups and utensils, and bath products (excluding the transport thereof), enabling customers to conveniently view and purchase those goods from a retail outlet",public,goods,CIPO_manual,-,300000171602700
35,0,import services,public,goods,CIPO_manual,-,300000171602700
35,0,sampling of beer and the sale of beer,public,goods,CIPO_manual,-,300000171603300
35,0,"promoting the sale of beer at bars, restaurants and festivals through the distribution of related printed material",public,goods,CIPO_manual,-,300000171603300
41,0,"organization and administration of social events, namely beer tasting events, including educational and informational seminars regarding beer",public,services,CIPO_manual,-,300000171603300
39,0,"operation of a tourist attraction, namely providing tours of a brewery",public,services,CIPO_manual,-,300000171603300
39,0,"tour services, namely tour operating and organising",public,services,CIPO_manual,-,300000171603300
25,0,"clothing, namely t-shirts, long sleeve shirts, sweaters, jackets and hockey jerseys",public,goods,CIPO_manual,-,300000171603900
18,0,"bags, namely messenger bags and tote bags",public,goods,CIPO_manual,-,300000171603900
21,0,"bottle openers, drinking glasses",public,goods,CIPO_manual,-,300000171603900
35,0,"advertising and business services, namely, market research and market analysis",public,goods,CIPO_manual,-,300000171604500
35,0,"employment services in the nature of talent casting in the fields of music, video, and films",public,goods,CIPO_manual,-,300000171604500
35,0,"consumer intelligence marketing services relating to brands, products, and services, namely, conducting consumer tracking behavior research and consumer trend analysis",public,goods,CIPO_manual,-,300000171604500
35,0,"direct marketing services for others of brands, products and services, through one-on-one consumer engagement, via dissemination of advertising for others via social networking communities, computer games, incentive and reward program, branded content",public,goods,CIPO_manual,-,300000171604500
35,0,"providing an on-line consumer lead generation searchable database for marketing in the fields of life style, personal profile, brand preference, permission to contact, user generated content, and general interest",public,goods,CIPO_manual,-,300000171604500
42,0,"computer services, namely, hosting online web facilities for others for organizing and conducting online social networking, meetings, gatherings, and interactive discussions",public,services,CIPO_manual,-,300000171604500
42,0,"and creating and designing web pages for others featuring user-defined information, personal profile entry, opt-in service requests and information",public,services,CIPO_manual,-,300000171604500
10,0,hearing protectors,public,goods,CIPO_manual,-,300000171606400
10,0,"parts of aforementioned goods, such as sound filters and casings",public,goods,CIPO_manual,-,300000171606400
10,0,hearing protecting apparatus,public,goods,CIPO_manual,-,300000171606400
10,0,ear plugs,public,goods,CIPO_manual,-,300000171606400
29,0,"preserved, frozen, dried and cooked fruits and vegetables",public,goods,CIPO_manual,-,300000171606900
29,0,"jellies, jams, compotes",public,goods,CIPO_manual,-,300000171606900
29,0,"eggs, milk and milk products",public,goods,CIPO_manual,-,300000171606900
29,0,edible oils and fats,public,goods,CIPO_manual,-,300000171606900
29,0,foodstuffs containing processed biologically active natural polysaccharides,public,goods,CIPO_manual,-,300000171606900
29,0,"protein preparations for human foodstuffs, in particular with biologically active polysaccharides",public,goods,CIPO_manual,-,300000171606900
29,0,"protein foodstuffs for dietetic purposes, except foodstuffs adapted for medical purposes",public,goods,CIPO_manual,-,300000171606900
29,0,fungal broths,public,goods,CIPO_manual,-,300000171606900
29,0,prepared meals consisting principally of mushrooms,public,goods,CIPO_manual,-,300000171606900
35,0,business administration,public,goods,CIPO_manual,-,300000171606900
35,0,office functions,public,goods,CIPO_manual,-,300000171606900
35,0,"electronic commerce services, namely providing information products via telecommunication networks for advertising and sales purposes",public,goods,CIPO_manual,-,300000171606900
35,0,administration of the business affairs of retail outlets,public,goods,CIPO_manual,-,300000171606900
35,0,"professional business consultancy, in particular professional consultancy regarding the sale of nutritional supplements and food supplements, dietetic substances, drugs and medicines, in particular with fungal extracts",public,goods,CIPO_manual,-,300000171606900
35,0,retailing and wholesaling of food supplements for strengthening the immune system,public,goods,CIPO_manual,-,300000171606900
35,0,"the bringing together, for the benefit of others, of medicines, drugs, food supplements and nutritional supplements (excluding the transport thereof), enabling customers to conveniently view and purchase those goods via retail outlets, wholesale outlets, via catalogue sales and electronic means, namely, via web sites",public,goods,CIPO_manual,-,300000171606900
35,0,compilation of statistical data relating to medical research,public,goods,CIPO_manual,-,300000171606900
35,0,rental of advertising space via the internet,public,goods,CIPO_manual,-,300000171606900
35,0,business research,public,goods,CIPO_manual,-,300000171606900
35,0,"advertising and marketing, namely, business marketing consulting services, providing marketing strategies for others, provision of marketing reports, marketing analysis services, marketing research, marketing services in the field of arranging for the distribution of the products of others, marketing services in the field of evaluating markets for existing goods and services of others",public,goods,CIPO_manual,-,300000171606900
35,0,sales promotion consultancy,public,goods,CIPO_manual,-,300000171606900
35,0,commercial sales information supply,public,goods,CIPO_manual,-,300000171606900
35,0,business intermediary and advisory services in the field of selling products and rendering services,public,goods,CIPO_manual,-,300000171606900
35,0,business administration in the field of internet sales,public,goods,CIPO_manual,-,300000171606900
35,0,organization of exhibitions for commercial and advertising purposes,public,goods,CIPO_manual,-,300000171606900
35,0,on-line advertising the goods and services of others on a computerised communications network,public,goods,CIPO_manual,-,300000171606900
5,0,pharmaceutical and veterinary preparations,public,goods,CIPO_manual,-,300000171606900
5,0,"dietetic substances adapted for medical use, food for babies",public,goods,CIPO_manual,-,300000171606900
5,0,"plasters, materials for dressings",public,goods,CIPO_manual,-,300000171606900
5,0,"material for stopping teeth, dental wax",public,goods,CIPO_manual,-,300000171606900
5,0,"pharmaceutical and veterinary preparations, composed mainly of polysaccharides, in powder, liquid, capsule, hydrogel, cream and milk form for strengthening the immune system and preventing respiratory infections, for the treatment of skin conditions and skin irritations, namely, dermatitis, eczema, psoriasis, bee stings, sunburn, rashes, sores, corns, calluses, and acne, for reducing tiredness and fatigue, for preventing digestion disorders, for contributing to proper brain and heart functioning",public,goods,CIPO_manual,-,300000171606900
5,0,"sanitary preparations for medical purposes, namely, all purpose sanitizers",public,goods,CIPO_manual,-,300000171606900
5,0,"dietetic substances adapted for medical use, composed mainly of polysaccharides, in powder, liquid, capsule, hydrogel, cream and milk form for strengthening the immune system and preventing respiratory infections, for the treatment of skin conditions and skin irritations, namely, dermatitis, eczema, psoriasis, bee stings, sunburn, rashes, sores, corns, calluses, and acne, for reducing tiredness and fatigue, for preventing digestion disorders, for contributing to proper brain and heart functioning and for general health and well-being",public,goods,CIPO_manual,-,300000171606900
5,0,"plasters, materials for dressings",public,goods,CIPO_manual,-,300000171606900
5,0,"material for stopping teeth, dental wax",public,goods,CIPO_manual,-,300000171606900
5,0,medicinal food supplements for nutritional purposes,public,goods,CIPO_manual,-,300000171606900
5,0,"food supplements, consisting of vitamins, amino acids, minerals and trace elements",public,goods,CIPO_manual,-,300000171606900
5,0,dietetic supplements containing biologically active natural polysaccharides for medical use,public,goods,CIPO_manual,-,300000171606900
5,0,active substances for the manufacture of medicines and of dietetic and nutritional supplements,public,goods,CIPO_manual,-,300000171606900
5,0,"polysaccharide preparations for human foodstuffs for medical use, in particular with biologically active polysaccharides",public,goods,CIPO_manual,-,300000171606900
5,0,"immunological products, composed mainly of polysaccharides, in powder, liquid, capsule, hydrogel, cream and milk form for strengthening the immune system and preventing respiratory infections, for the treatment of skin conditions and skin irritations, namely, dermatitis, eczema, psoriasis, bee stings, sunburn, rashes, sores, corns, calluses, and acne, for reducing tiredness and fatigue, for preventing digestion disorders, for contributing to proper brain and heart functioning and for general health and well-being",public,goods,CIPO_manual,-,300000171606900
5,0,dietary and nutritional supplements for general health and well-being,public,goods,CIPO_manual,-,300000171606900
5,0,dietary foods supplements for general health and well-being,public,goods,CIPO_manual,-,300000171606900
5,0,"dietetic extracts for medical purposes composed mainly of polysaccharides, in powder, liquid, capsule, hydrogel, cream and milk form for strengthening the immune system and preventing respiratory infections, for the treatment of skin conditions and skin irritations, namely, dermatitis, eczema, psoriasis, bee stings, sunburn, rashes, sores, corns, calluses, and acne, for reducing tiredness and fatigue, for preventing digestion disorders, for contributing to proper brain and heart functioning and for general health and well-being",public,goods,CIPO_manual,-,300000171606900
5,0,pharmaceutical preparations for use as dietetic additives for food,public,goods,CIPO_manual,-,300000171606900
5,0,plant mixtures for use as dietetic supplements for humans with special medical requirements,public,goods,CIPO_manual,-,300000171606900
5,0,"active specific immunotherapy agents, namely, polysaccharides",public,goods,CIPO_manual,-,300000171606900
5,0,"agents for activating the immunological functions of the metabolism, namely, polysaccharides",public,goods,CIPO_manual,-,300000171606900
5,0,protein food stuffs for dietetic purposes (adapted for medical use),public,goods,CIPO_manual,-,300000171606900
5,0,herbal mixtures for use as dietetic additives for persons with special dietetic needs,public,goods,CIPO_manual,-,300000171606900
5,0,dietetic sugar substances adapted for medical purposes,public,goods,CIPO_manual,-,300000171606900
5,0,dietetic confectionery for medical purposes,public,goods,CIPO_manual,-,300000171606900
5,0,bottled water for medical purposes,public,goods,CIPO_manual,-,300000171606900
5,0,spirit liniments for medical use,public,goods,CIPO_manual,-,300000171606900
5,0,aromatic teas for medical purposes,public,goods,CIPO_manual,-,300000171606900
5,0,non-prescription dietary supplements for persons with dietary requirements due to a medical condition,public,goods,CIPO_manual,-,300000171606900
5,0,non-prescription dietary supplements for human consumption consisting principally of minerals,public,goods,CIPO_manual,-,300000171606900
5,0,dietary supplements for medical use containing ginseng,public,goods,CIPO_manual,-,300000171606900
5,0,dietary supplements for infants for general health and well-being,public,goods,CIPO_manual,-,300000171606900
5,0,non-prescription dietary supplements for human consumption consisting principally of vitamins,public,goods,CIPO_manual,-,300000171606900
5,0,"non-prescription dietary supplements in powder, liquid, capsule, hydrogel, cream and milk form for human consumption consisting principally of trace elements of polysaccharides",public,goods,CIPO_manual,-,300000171606900
5,0,dietary supplements for medical use containing royal jelly,public,goods,CIPO_manual,-,300000171606900
5,0,dietetic jams for medical use,public,goods,CIPO_manual,-,300000171606900
5,0,herbal food supplements for personal special dietetic requirements,public,goods,CIPO_manual,-,300000171606900
5,0,dietetic preparations for medical use in weight control,public,goods,CIPO_manual,-,300000171606900
5,0,dietetic foodstuffs for medical use made of sugar and sweetener,public,goods,CIPO_manual,-,300000171606900
5,0,"dietetic substances for veterinary purposes, namely, dietary supplements for general health and well-being",public,goods,CIPO_manual,-,300000171606900
5,0,immunoglobulin preparations,public,goods,CIPO_manual,-,300000171606900
5,0,immunological antisera for medical use,public,goods,CIPO_manual,-,300000171606900
5,0,food supplements to strengthen the immune system,public,goods,CIPO_manual,-,300000171606900
5,0,"food preparations adapted for medical use, namely, food supplements composed mainly of polysaccharides, in powder, liquid, capsule, hydrogel, cream and milk form for strengthening the immune system and preventing respiratory infections, for the treatment of skin conditions and skin irritations, namely, dermatitis, eczema, psoriasis, bee stings, sunburn, rashes, sores, corns, calluses, and acne, for reducing tiredness and fatigue, for preventing digestion disorders, for contributing to proper brain and heart functioning and for general health and well-being",public,goods,CIPO_manual,-,300000171606900
5,0,"medicines for human use composed mainly of polysaccharides, in powder, liquid, capsule, hydrogel, cream and milk form for strengthening the immune system and preventing respiratory infections, for the treatment of skin conditions and skin irritations, namely, dermatitis, eczema, psoriasis, bee stings, sunburn, rashes, sores, corns, calluses, and acne, for reducing tiredness and fatigue, for preventing digestion disorders, for contributing to proper brain and heart functioning and for general health and well-being",public,goods,CIPO_manual,-,300000171606900
5,0,immunological antisera for medical use,public,goods,CIPO_manual,-,300000171606900
5,0,antibodies for immunodiagnostic purposes,public,goods,CIPO_manual,-,300000171606900
5,0,immunoglobulin preparations,public,goods,CIPO_manual,-,300000171606900
5,0,food substitutes (for nutritional use),public,goods,CIPO_manual,-,300000171606900
5,0,"food supplements, not for medical purposes, containing fungal extracts",public,goods,CIPO_manual,-,300000171606900
5,0,"food supplements, not for medical purposes, in powder, liquid, capsule, hydrogel, cream and milk form, composed of vitamins, minerals and trace elements of polysaccharides",public,goods,CIPO_manual,-,300000171606900
30,0,"grain-based snack foods, namely wholegrain snack crackers and chips",public,goods,CIPO_manual,-,300000171607600
1,0,catalysts and chemical additives for use in the field of vehicle emissions,public,goods,CIPO_manual,-,300000171607700
7,0,"catalyst systems and associated control and treatment system, namely catalytic converters used to reduce pollutants in the engine emissions of vehicles",public,goods,CIPO_manual,-,300000171607700
9,0,computer software for use in tracking and monitoring motor vehicle information,public,goods,CIPO_manual,-,300000171608100
42,0,computer game development services,public,services,CIPO_manual,-,300000171611000
41,0,"production and distribution of motion pictures, films and videos containing video games, computer games and virtual reality games",public,services,CIPO_manual,-,300000171611000
41,0,film studio services,public,services,CIPO_manual,-,300000171611000
25,0,"clothing, namely, jackets, sweatshirts, and t-shirts",public,goods,CIPO_manual,-,300000171616000
42,0,"providing a website featuring open source technology that enables users to view, discuss, write, edit, contribute to, and maintain an online encyclopedia",public,services,CIPO_manual,-,300000171616000
42,0,"computer services, namely, maintaining an online encyclopedia",public,services,CIPO_manual,-,300000171616000
38,0,"operation of an interactive website on the internet featuring an online community that enables users to participate in discussions and form virtual communities to view, discuss, write, edit, contribute to, and maintain an online encyclopedia",public,services,CIPO_manual,-,300000171616000
38,0,"telecommunication services, namely, providing online electronic bulletin boards for the transmission of messages among computer users concerning encyclopedia articles and the administration of an encyclopedia project",public,services,CIPO_manual,-,300000171616000
38,0,"offering the services of providing electronic access to the applicant's website via a computer or mobile device, namely transmission of online-based information from the applicant's website accessed via a visual reference, namely a two-dimensional bar code or qr code for purposes of sharing, distributing and providing historical, educational and background information on the applicant's website",public,services,CIPO_manual,-,300000171616000
16,0,"printed publications, namely, books and manuals regarding an online encyclopedia",public,goods,CIPO_manual,-,300000171616000
36,0,fundraising services for the support of free knowledge and the sharing of educational content,public,services,CIPO_manual,-,300000171616000
36,0,providing financial grants to entities and individuals in order to promote the dissemination and promotion of free knowledge and educational content,public,services,CIPO_manual,-,300000171616000
41,0,"educational services, namely, collecting, developing, and disseminating freely licensed educational content, namely, ebooks, articles, reference guides, brochures, and manuals",public,services,CIPO_manual,-,300000171616000
41,0,providing a collaboratively created and maintained online multilingual encyclopedia,public,services,CIPO_manual,-,300000171616000
41,0,"providing online publications in the nature of articles, reference guides, brochures, and manuals on the use of and contribution to an online encyclopedia",public,services,CIPO_manual,-,300000171616000
41,0,"educational services, namely, conferences and workshops about an online encyclopedia",public,services,CIPO_manual,-,300000171616000
41,0,"arranging and conducting contests and incentive award programs for educational purposes by way of awards to demonstrate excellence in the field of writing, editing, and contribution to an interactive online encyclopedia",public,services,CIPO_manual,-,300000171616000
9,0,"downloadable publications, namely, e-books in the nature of textbooks, manuals, and educational and reference books of others in the field of encyclopedic content",public,goods,CIPO_manual,-,300000171616000
5,0,"botanical extracts, namely pomegranate extracts, for use in the preparation of pharmaceutical products and preparations",public,goods,CIPO_manual,-,300000171616200
5,0,"food, dietary and nutritional supplements, namely, supplements derived from and containing pomegranate extracts and plant extract for general health and well-being",public,goods,CIPO_manual,-,300000171616200
5,0,"nutraceuticals, namely supplements derived from and containing pomegranate extracts for general health and well-being",public,goods,CIPO_manual,-,300000171616200
5,0,nutritional additives for use in foods containing pomegranate extracts for general health and well-being,public,goods,CIPO_manual,-,300000171616200
5,0,pharmaceutical preparations derived from and containing pomegranate extracts for use in the manufacture of nutritional supplements for general health and well-being,public,goods,CIPO_manual,-,300000171616200
9,0,"software for use in remotely managing and monitoring the functions and settings of water pump systems, water filtration systems, and battery back-up systems for the foregoing",public,goods,CIPO_manual,-,300000171616400
42,0,"providing a website featuring non-downloadable software for use in remotely managing and monitoring the functions and settings of water pump systems, water filtration systems, and battery back-up systems for the foregoing",public,services,CIPO_manual,-,300000171616400
19,0,"artificial ground coverings for environmental sites, namely an erosion control geomembrane fabric, erosion control tufted geosynthetic textile mats, and sand infill for the erosion control tufted geosynthetic textile mats",public,goods,CIPO_manual,-,300000171616700
19,0,"artificial ground coverings, namely armorings that protect the ground from eroding, namely an erosion control geomembrane fabric, erosion control tufted geosynthetic textile mats, and cementitious infill for the erosion control tufted geosynthetic textile mats",public,goods,CIPO_manual,-,300000171616700
19,0,"artificial ground coverings, namely ground coverings that prevent erosion and prevent contaminants from seeping out, namely an erosion control geomembrane fabric and erosion control tufted geosynthetic textile mats",public,goods,CIPO_manual,-,300000171616700
